SalePeriod,SaleDate,SalesPeriodType,Industry,DataType,ProductCategoryName,Quantity,Units,TOTAL_$
2001-01-01 - 2026-04-12,2021-07-09,Historical,Adult-Use,Delivery Couriers,Vape Product,39.0,38,1462.5
2001-01-01 - 2026-04-12,2021-07-09,Historical,Adult-Use,Delivery Operators,Buds,10.5,3,150.0
2001-01-01 - 2026-04-12,2021-07-09,Historical,Adult-Use,Delivery Operators,Infused (edible),8.0,8,200.01
2001-01-01 - 2026-04-12,2021-07-09,Historical,Adult-Use,Delivery Operators,Raw Pre-Rolls,15.0,5,254.2
2001-01-01 - 2026-04-12,2021-07-10,Historical,Adult-Use,Delivery Couriers,Buds,468.0,35,2116.41
2001-01-01 - 2026-04-12,2021-07-10,Historical,Adult-Use,Delivery Couriers,Concentrate (Each),3.0,3,201.25
2001-01-01 - 2026-04-12,2021-07-10,Historical,Adult-Use,Delivery Couriers,Infused (edible),57.0,48,1728.98
2001-01-01 - 2026-04-12,2021-07-10,Historical,Adult-Use,Delivery Couriers,Infused (non-edible),2.0,1,40.0
2001-01-01 - 2026-04-12,2021-07-10,Historical,Adult-Use,Delivery Couriers,Infused Beverage,30.0,3,210.0
2001-01-01 - 2026-04-12,2021-07-10,Historical,Adult-Use,Delivery Couriers,Infused Pre-Rolls,0.75,1,20.0
2001-01-01 - 2026-04-12,2021-07-10,Historical,Adult-Use,Delivery Couriers,Raw Pre-Rolls,5.25,3,78.0
2001-01-01 - 2026-04-12,2021-07-10,Historical,Adult-Use,Delivery Couriers,Vape Product,30.0,27,1567.5
2001-01-01 - 2026-04-12,2021-07-10,Historical,Adult-Use,Delivery Operators,Buds,2.0,2,33.34
2001-01-01 - 2026-04-12,2021-07-10,Historical,Adult-Use,Delivery Operators,Concentrate (Each),1.0,1,62.5
2001-01-01 - 2026-04-12,2021-07-10,Historical,Adult-Use,Delivery Operators,Infused (edible),6.0,6,158.34
2001-01-01 - 2026-04-12,2021-07-10,Historical,Adult-Use,Delivery Operators,Raw Pre-Rolls,8.8,4,154.19
2001-01-01 - 2026-04-12,2021-07-11,Historical,Adult-Use,Delivery Couriers,Buds,18.5,6,254.0
2001-01-01 - 2026-04-12,2021-07-11,Historical,Adult-Use,Delivery Couriers,Infused (edible),12.0,10,390.33
2001-01-01 - 2026-04-12,2021-07-11,Historical,Adult-Use,Delivery Couriers,Infused (non-edible),1.0,1,20.0
2001-01-01 - 2026-04-12,2021-07-11,Historical,Adult-Use,Delivery Couriers,Raw Pre-Rolls,2.5,1,37.5
2001-01-01 - 2026-04-12,2021-07-11,Historical,Adult-Use,Delivery Couriers,Vape Product,1.0,1,60.0
2001-01-01 - 2026-04-12,2021-07-12,Historical,Adult-Use,Delivery Couriers,Buds,44.5,11,659.0
2001-01-01 - 2026-04-12,2021-07-12,Historical,Adult-Use,Delivery Couriers,Concentrate (Each),5.0,5,225.0
